Model,Test R²,Train R²,Test RMSE,Test MAE,Training Time (s),CV R² Mean,CV R² Std
Linear Regression,0.9678593533535058,0.9678992450983104,259.5385484677025,217.5924389711108,0.2841775417327881,0.9678656068084962,0.0003773453424049845
Random Forest,0.9953001579529857,0.99549797430206,99.24672794899074,42.28770870080939,62.35797429084778,0.9955205955445934,0.00026023444244283023
XGBoost,0.9993208050727844,0.999442994594574,37.72823287226772,27.548471450805664,1.2346417903900146,0.9993085741996766,1.3018746033336576e-05
